1.0	1.42	2.52	3.56	2.71	1.72	1.6	1.51	1.25	1.07	1.09	1.11
1.0	1.01	1.1	1.49	1.94	4.6	8.28	10.84	8.57	8.05	6.75	5.62
1.0	1.42	4.28	8.49	7.67	20.4	15.25	13.54	6.5	2.22	3.37	4.6
1.0	2.67	2.41	3.75	6.18	38.8	86.92	25.58	14.81	6.73	2.72	2.42
1.0	0.95	1.11	1.28	1.44	2.99	3.23	3.33	2.51	1.83	1.74	1.57
1.0	0.9	0.77	0.81	0.82	0.61	0.48	0.43	0.45	0.77	0.76	0.83
1.0	1.81	3.9	6.9	4.59	3.47	2.94	2.77	1.67	1.59	1.51	1.38
1.0	1.04	1.21	1.13	1.01	0.87	0.71	0.62	0.51	0.55	0.52	0.52
1.0	0.98	0.99	0.98	1.0	1.01	1.03	1.14	1.33	1.47	1.6	1.64
1.0	1.08	1.19	1.19	1.15	1.19	1.3	1.46	1.72	2.56	3.54	4.94
