1.0	1.2	2.16	2.44	1.55	1.39	1.18	1.07	0.82	0.69	0.71	0.68
1.0	0.96	1.16	1.23	1.29	2.83	4.77	6.13	4.98	4.15	3.81	3.25
1.0	1.32	2.4	3.8	3.94	5.47	4.67	4.5	2.67	1.79	1.88	1.99
1.0	1.07	1.23	1.62	1.72	5.68	6.95	3.68	2.13	1.65	1.44	1.45
1.0	0.93	1.19	1.39	1.48	2.12	2.33	2.72	2.26	1.39	1.31	1.13
1.0	0.91	0.81	0.8	0.81	0.61	0.51	0.47	0.48	0.75	0.74	0.78
1.0	1.86	4.17	8.35	4.94	3.39	2.75	2.65	1.58	1.55	1.47	1.24
1.0	0.86	0.91	0.94	0.88	0.76	0.58	0.42	0.35	0.45	0.39	0.42
1.0	1.06	1.05	1.04	1.05	0.86	0.71	0.66	0.7	0.93	1.0	1.09
1.0	1.05	1.01	1.01	1.11	1.12	1.21	1.38	1.68	2.2	2.72	3.46
