1.0	0.93	2.16	2.27	0.9	1.04	0.83	0.67	0.72	0.44	0.47	0.47
1.0	0.92	0.97	0.9	0.83	1.9	3.75	4.97	4.33	2.32	2.21	1.88
1.0	0.96	1.49	1.48	3.59	4.14	3.03	3.57	2.06	2.2	2.28	1.86
1.0	1.26	1.3	1.49	1.13	4.49	3.94	2.82	1.55	1.81	1.55	1.47
1.0	1.11	0.88	1.79	1.47	1.87	3.0	4.03	2.31	1.01	0.68	0.7
1.0	0.92	0.8	0.74	0.67	0.59	0.55	0.43	0.48	0.76	0.85	0.68
1.0	1.01	4.73	10.62	3.0	3.62	1.61	1.06	0.86	1.67	1.53	0.8
1.0	0.51	0.73	0.96	0.84	0.77	0.7	0.27	0.43	0.63	0.32	0.4
1.0	1.31	0.92	1.17	1.03	0.88	0.56	0.49	0.62	0.81	1.04	1.1
1.0	2.02	0.98	1.08	1.05	0.46	0.5	0.8	1.5	1.91	1.9	1.86
