1.0	1.42	2.65	3.82	2.73	1.75	1.73	1.64	1.37	1.08	1.19	1.23
1.0	1.01	1.1	1.49	1.94	4.6	8.28	10.84	8.57	8.05	6.75	5.62
1.0	1.42	4.28	8.49	7.67	20.4	15.25	13.54	6.5	2.22	3.37	4.6
1.0	2.67	2.41	3.75	6.18	38.8	86.92	25.58	14.81	6.73	2.72	2.42
1.0	0.98	1.16	1.37	1.52	3.39	3.68	3.63	2.47	1.78	1.7	1.53
1.0	0.92	0.82	0.83	0.84	0.63	0.51	0.46	0.49	0.8	0.8	0.88
1.0	1.86	4.0	7.05	4.74	3.58	2.92	2.77	1.66	1.58	1.5	1.35
1.0	1.04	1.29	1.24	1.07	0.98	0.81	0.71	0.58	0.59	0.55	0.54
1.0	0.95	0.98	1.02	1.12	1.38	1.45	1.75	2.0	1.89	1.96	1.95
1.0	1.12	1.24	1.16	1.09	1.11	1.28	1.43	1.63	2.63	3.81	5.5
