1.0	1.42	2.65	3.82	2.73	1.75	1.73	1.64	1.37	1.08	1.19	1.23
1.0	1.01	1.1	1.49	1.94	4.6	8.28	10.84	8.57	8.05	6.75	5.62
1.0	1.42	4.28	8.49	7.67	20.4	15.25	13.54	6.5	2.22	3.37	4.6
1.0	2.67	2.41	3.75	6.18	38.8	86.92	25.58	14.81	6.73	2.72	2.42
1.0	0.97	1.15	1.34	1.48	3.27	3.55	3.54	2.48	1.82	1.71	1.55
1.0	0.91	0.81	0.82	0.84	0.62	0.5	0.46	0.48	0.79	0.8	0.87
1.0	1.86	4.0	7.05	4.74	3.58	2.92	2.77	1.66	1.58	1.5	1.35
1.0	1.04	1.27	1.21	1.04	0.96	0.79	0.67	0.56	0.58	0.56	0.55
1.0	0.97	0.97	1.02	1.13	1.3	1.35	1.63	1.88	1.79	1.89	1.91
1.0	1.11	1.21	1.14	1.09	1.1	1.25	1.41	1.62	2.64	3.76	5.38
