1.0	1.39	2.49	3.59	2.58	1.71	1.62	1.5	1.2	0.98	1.01	0.98
1.0	1.01	1.1	1.49	1.94	4.6	8.28	10.84	8.57	8.05	6.75	5.62
1.0	1.65	3.02	5.08	11.48	12.58	10.44	10.53	3.42	1.15	0.86	0.86
1.0	1.92	3.97	7.83	5.02	33.51	53.5	21.06	12.2	5.02	4.3	5.38
1.0	0.94	1.1	1.25	1.42	2.86	3.09	3.21	2.48	1.82	1.72	1.55
1.0	0.88	0.76	0.8	0.81	0.59	0.47	0.42	0.44	0.77	0.76	0.83
1.0	1.81	3.9	6.9	4.59	3.47	2.94	2.77	1.67	1.59	1.51	1.38
1.0	1.03	1.17	1.08	0.99	0.84	0.69	0.59	0.49	0.54	0.5	0.5
1.0	1.0	0.98	0.99	0.97	0.88	0.85	0.91	1.08	1.26	1.37	1.46
1.0	1.07	1.15	1.15	1.17	1.17	1.27	1.44	1.66	2.47	3.32	4.49
