1.0	1.36	2.39	3.33	2.38	1.64	1.53	1.46	1.19	0.94	0.98	0.95
1.0	1.04	1.05	1.37	1.81	4.34	6.86	9.68	7.57	7.08	6.16	5.07
1.0	1.65	3.02	5.08	11.48	12.58	10.44	10.53	3.42	1.15	0.86	0.86
1.0	1.58	2.95	5.64	3.81	23.83	41.47	19.51	11.3	5.8	4.35	4.91
1.0	0.94	1.12	1.26	1.39	2.76	2.92	3.01	2.42	1.76	1.67	1.53
1.0	0.88	0.75	0.78	0.81	0.59	0.47	0.42	0.45	0.77	0.76	0.83
1.0	1.81	3.9	6.9	4.59	3.47	2.94	2.77	1.67	1.59	1.51	1.38
1.0	0.99	1.14	1.05	0.94	0.79	0.65	0.54	0.46	0.52	0.48	0.48
1.0	1.03	0.97	0.99	0.99	0.83	0.74	0.76	0.84	1.12	1.2	1.27
1.0	1.06	1.11	1.11	1.15	1.16	1.3	1.44	1.67	2.44	3.23	4.28
